,study_trend,model,MAE,AIC
0,FIR_CR,Exponential,3.494256714415362e-05,47.04721913211183
1,FIR_CR,LogisticVerhulst,5.895607698141153e-05,44.954871396988615
2,FIR_CR,Gompertz,0.15897001277440972,13.356158773807994
3,FIR_CR,GeneralGompertz,0.07941112840061229,18.132467057484043
4,FIR_CR,ClassicBertalanffy,5.1474175109488286e-05,45.4977213209979
5,FIR_CR,GeneralBertalanffy,4.8707337427609664e-05,47.718723493440066
6,FIR_PR,Exponential,0.0012555536993319079,32.72071443603748
7,FIR_PR,LogisticVerhulst,0.0014301352162183493,32.19994512953794
8,FIR_PR,Gompertz,0.20484881580657568,12.341932223156387
9,FIR_PR,GeneralGompertz,0.04698997984293806,20.231283579329727
10,FIR_PR,ClassicBertalanffy,0.0012664326535083033,32.68620506086426
11,FIR_PR,GeneralBertalanffy,0.0011630457695957607,35.02685220580597
12,FIR_PD,Exponential,0.009226931257642988,24.742515042177136
13,FIR_PD,LogisticVerhulst,0.002844451536281685,29.44954004644767
14,FIR_PD,Gompertz,0.29757976957941,10.848291827590632
15,FIR_PD,GeneralGompertz,0.00817000209582614,27.229144454332765
16,FIR_PD,ClassicBertalanffy,0.009767638735503405,24.51472210939
17,FIR_PD,GeneralBertalanffy,0.00036419221521907086,39.67131506366198
18,FIR_SD,Exponential,0.0015281174975196575,31.93487477964671
19,FIR_SD,LogisticVerhulst,0.0010865834860010184,33.29886768730521
20,FIR_SD,Gompertz,0.38545505811626574,9.8133226941471
21,FIR_SD,GeneralGompertz,0.12238415301055933,16.402361544614834
22,FIR_SD,ClassicBertalanffy,0.001207960374203529,32.875287931276745
23,FIR_SD,GeneralBertalanffy,0.0006974831088385785,37.07212904512347
24,POPLAR_CR,Exponential,0.0026484629080294224,29.73510336790037
25,POPLAR_CR,LogisticVerhulst,0.003304187046502922,28.850259251152494
26,POPLAR_CR,Gompertz,0.46435958629332436,9.068384225722737
27,POPLAR_CR,GeneralGompertz,0.35723425992163477,12.117454088578036
28,POPLAR_CR,ClassicBertalanffy,0.005700657254482281,26.66869521194063
29,POPLAR_CR,GeneralBertalanffy,0.0027004616116709196,31.657330213198275
30,POPLAR_PR,Exponential,0.0018081523967191672,31.26179892137438
31,POPLAR_PR,LogisticVerhulst,0.0009292439496173269,33.92455703938707
32,POPLAR_PR,Gompertz,0.1849220921440746,12.751282664587112
33,POPLAR_PR,GeneralGompertz,0.25860473241686716,13.409818050677043
34,POPLAR_PR,ClassicBertalanffy,0.001263408748697874,32.69576741919362
35,POPLAR_PR,GeneralBertalanffy,0.001040182050197655,35.47343813152416
36,POPLAR_PD,Exponential,0.0023425687962589027,30.22602870219664
37,POPLAR_PD,LogisticVerhulst,0.0024220757608308073,30.09252141625396
38,POPLAR_PD,Gompertz,0.2318010737241005,11.847502863891556
39,POPLAR_PD,GeneralGompertz,0.1871584294033405,14.703199219007434
40,POPLAR_PD,ClassicBertalanffy,0.0026829556317476506,29.6833449779283
41,POPLAR_PD,GeneralBertalanffy,0.0035389530993204846,30.575697320919204
42,POPLAR_SD,Exponential,0.0024577322566404283,30.034064804376634
43,POPLAR_SD,LogisticVerhulst,0.0024364594768577007,30.068837310084703
44,POPLAR_SD,Gompertz,0.05211443623544195,17.81725312620686
45,POPLAR_SD,GeneralGompertz,0.10262863363481284,17.106553219679142
46,POPLAR_SD,ClassicBertalanffy,0.002310584065760477,30.281019776348458
47,POPLAR_SD,GeneralBertalanffy,0.0018533551021900723,33.16303085468291
48,BIRCH_CR,Exponential,0.0007255220182455204,34.914476548148485
49,BIRCH_CR,LogisticVerhulst,0.0008017435247292855,34.514887183379386
50,BIRCH_CR,Gompertz,0.16499495683667442,13.207361480699518
51,BIRCH_CR,GeneralGompertz,0.08078829382204669,18.063692809563996
52,BIRCH_CR,ClassicBertalanffy,0.0008600094056015288,34.23426892812225
53,BIRCH_CR,GeneralBertalanffy,0.0008972817012395193,36.0645627880148
54,BIRCH_PR,Exponential,0.0009428510037925729,33.86640916062143
55,BIRCH_PR,LogisticVerhulst,0.0010069188345584715,33.60344107890826
56,BIRCH_PR,Gompertz,0.14197800718905373,13.808332449304736
57,BIRCH_PR,GeneralGompertz,0.1534523662163734,15.497460311688247
58,BIRCH_PR,ClassicBertalanffy,0.001048852645955413,33.440233721608564
59,BIRCH_PR,GeneralBertalanffy,0.0008094988918060854,36.476380615332836
60,BIRCH_PD,Exponential,0.0016004303534056768,31.74993086009614
61,BIRCH_PD,LogisticVerhulst,0.0016047985974451968,31.739028058927254
62,BIRCH_PD,Gompertz,0.08689920282889559,15.772025680733192
63,BIRCH_PD,GeneralGompertz,0.10385341350423742,17.059099438544216
64,BIRCH_PD,ClassicBertalanffy,0.0022006809513973715,30.475953772591595
65,BIRCH_PD,GeneralBertalanffy,0.0013700251082380914,34.37170484851582
66,BIRCH_SD,Exponential,0.0007357110135921884,34.85869264366518
67,BIRCH_SD,LogisticVerhulst,0.0006513159243160214,35.346062970652746
68,BIRCH_SD,Gompertz,0.15787585402900012,13.383785155198355
69,BIRCH_SD,GeneralGompertz,0.1604793534133554,15.318359935423677
70,BIRCH_SD,ClassicBertalanffy,0.0007328309689362127,34.874381937577674
71,BIRCH_SD,GeneralBertalanffy,0.000637039088993998,37.434718160308066
72,OAK_CR,Exponential,0.0006815250322795499,35.16471030540419
73,OAK_CR,LogisticVerhulst,0.0007473573336195054,34.79586851579701
74,OAK_CR,Gompertz,0.22894039240089042,11.897174418012757
75,OAK_CR,GeneralGompertz,0.3110734945321697,12.670904311590514
76,OAK_CR,ClassicBertalanffy,0.0007330182085306976,34.873360061120636
77,OAK_CR,GeneralBertalanffy,0.0009656433835288921,35.77086384040264
78,OAK_PR,Exponential,0.001209089260106325,32.87155152150226
79,OAK_PR,LogisticVerhulst,0.001045487314461535,33.45308869053988
80,OAK_PR,Gompertz,0.19891554710056042,12.459499723057586
81,OAK_PR,GeneralGompertz,0.18086292979944824,14.840063314135627
82,OAK_PR,ClassicBertalanffy,0.0010322322373433215,33.50412640421688
83,OAK_PR,GeneralBertalanffy,0.0007149957703018601,36.97293572379799
84,OAK_PD,Exponential,0.002118724875374892,30.62776338054385
85,OAK_PD,LogisticVerhulst,0.0019306738394576455,30.999544789540142
86,OAK_PD,Gompertz,0.20439795247673076,12.35074575175956
87,OAK_PD,GeneralGompertz,0.20092989474774725,14.419196856445154
88,OAK_PD,ClassicBertalanffy,0.002557870024576623,29.874321553850184
89,OAK_PD,GeneralBertalanffy,0.0016163400552364276,33.710363643200026
90,OAK_SD,Exponential,0.003031778748094064,29.19442314451643
91,OAK_SD,LogisticVerhulst,0.002760037791093758,29.570043627686182
92,OAK_SD,Gompertz,0.18161973433382633,12.823360597919555
93,OAK_SD,GeneralGompertz,0.18281308712965694,14.797164119646855
94,OAK_SD,ClassicBertalanffy,0.0028880791674130313,29.38865458315254
95,OAK_SD,GeneralBertalanffy,0.002800921264815844,31.511227571074837
96,IMVIGOR210_CR,Exponential,0.001315830482997169,32.53314906675285
97,IMVIGOR210_CR,LogisticVerhulst,0.0021225052532514027,30.62063265900691
98,IMVIGOR210_CR,Gompertz,0.18507001343161422,12.748084298066498
99,IMVIGOR210_CR,GeneralGompertz,0.1746439603056077,14.980023560120188
100,IMVIGOR210_CR,ClassicBertalanffy,0.002985307468607232,29.256210131534562
101,IMVIGOR210_CR,GeneralBertalanffy,0.00207025828512199,32.72032761626966
102,IMVIGOR210_PR,Exponential,0.0008747721955758961,34.16618821366529
103,IMVIGOR210_PR,LogisticVerhulst,0.0007707256820881524,34.67271217067196
104,IMVIGOR210_PR,Gompertz,0.27533348012048303,11.159089044016678
105,IMVIGOR210_PR,GeneralGompertz,0.21914206164794586,14.07214030458307
106,IMVIGOR210_PR,ClassicBertalanffy,0.0008451967094983095,34.30376466157333
107,IMVIGOR210_PR,GeneralBertalanffy,0.00021517006203740472,41.77632742512344
108,IMVIGOR210_PD,Exponential,0.003615951360126624,28.48960115134037
109,IMVIGOR210_PD,LogisticVerhulst,0.0035666273262812452,28.54453942503129
110,IMVIGOR210_PD,Gompertz,0.16498744484417427,13.207543599320712
111,IMVIGOR210_PD,GeneralGompertz,0.2309434940975378,13.862328850718693
112,IMVIGOR210_PD,ClassicBertalanffy,0.001597317863479564,31.757717566735742
113,IMVIGOR210_PD,GeneralBertalanffy,0.0011882164748049642,34.94120742716817
114,IMVIGOR210_SD,Exponential,0.000490238610057713,36.482473304337404
115,IMVIGOR210_SD,LogisticVerhulst,0.00040400983164693517,37.25628537815797
116,IMVIGOR210_SD,Gompertz,0.3477724377907459,10.22482770998936
117,IMVIGOR210_SD,GeneralGompertz,0.3182447048993324,12.579738719450674
118,IMVIGOR210_SD,ClassicBertalanffy,0.0004965127456054551,36.43160561560511
119,IMVIGOR210_SD,GeneralBertalanffy,0.00042054266259220114,39.09585850751645
